ID,content
100478,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100479,b'同意给予***320万元信用额度，全部为流动资金贷款额度，期限12个月，采用房产最高额抵...
100480,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100481,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100482,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100483,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100484,b'1.贸易融资产品全部用于办理“融财通”业务，严格按照建京发〔2012〕22号《***“融...
100485,b'同意给予***信用额度490万元，期限12个月，全部为流动资金贷款额度，担保方式采用最高...
100486,b'1.请支行密切关注铜价格的波动情况及客户经营状况；2.在具体办业务时，请商分行公司业务部...
100487,b'提示：关注企业从事的钢材贸易等大宗商品价格波动对其经营的影响，关注***对其所属集团的退...
100488,b'提示：1、严格审查贸易背景；2、关注国内外棉花市场价格波动以及国家棉花收储政策、财政补贴...
100489,b'提示支行：1、落实方案中贷前承诺事项和放款条件，并持续监控企业经营变化、资金回款等情况，...
100490,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100491,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100492,b'同意给予***信用额度160万元（全部为流动资金贷款额度），期限12个月，采用最高额抵押...
100493,b'同意给予***信用额度450万元，全部为流动资金贷款额度，期限12个月，担保方式采用房产...
100494,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100495,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100496,b'同意给予***信用额度400万元，期限12个月，全部为流动资金贷款额度，匹配税易贷产品，...
100497,b'同意给予***信用额度400万元，期限12个月，全部为流动资金贷款额度，匹配税易贷产品，...
100498,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100499,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100500,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100501,b'同意给予***信用额度500万元，期限12个月，全部为流动资金贷款额度，匹配使用税易贷产...
100502,b'提示：1.授信项下单笔贷款使用须与企业购销合同相匹配，注意核实贸易背景，了解下游客户付款...
100503,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100504,b'1.关注总行信贷政策对该客户信贷业务的影响，对于贸易融资业务应加强单笔业务贸易背景真实性...
100505,b'提示：1.严格贸易产品的审查以及贸易背景的真实性审查；2.鉴于该客户主营业务分散，利润空...
100506,b'1.客户近三年营业收入增加，盈利能力和经营净现金流持续下降，财务指标变化趋势呈负面，建议...
100507,b'不同意给予***信用额度500万元，理由如下：\n1、借款企业主营办公用品、劳保用品等零...
100508,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100509,b'你行经CLPM系统申报的业务编号为*****的审批事项，经分行审批人会签审批，已完成审批...
100510,b'同意给予***信用额度1200万元，期限12个月，其中900万元为流动资金贷款额度，担保...
100511,b'提示：1、流动资金贷款额度限用于置换我行已到期国内保理业务，存量保理额度回收后不得再次支...
100512,b'提示：1.规范贷款用途，我行贷款仅限用于企业采购商品所需资金周转，不得用于固定资产的购置...
100513,b'提示：1、授信如用于煤贸、铜贸等限制性大宗商品贸易，应执行总行制度要求；2、关注大宗商品...
100514,b'提示：1、支行应加大贷款催收的力度，尽快实现我行信贷资产的安全退出。2、单笔业务办理后继...
100515,b'提示支行：1、鉴于该客户短期负债在阶段内会大幅攀升，还款压力较大，建议我行授信优先使用进...
100516,b'同意给予***“成长之路”信用额度900万元，期限1年。'
100517,b'你分行上报的***客户信用额度业务（业务编号：KHED13010956120222005...
100518,b'同意给予***信用额度1600万元，期限一年。'
100519,b'严格把控信贷资金用向，严禁挪用；落实公司相关承诺；强化账户监查，务必保证在我行销售收入归行率'
100520,b'同意***信用额度1500万元，期限一年。'
100521,b'同意给予***“成长之路”授信额度800万元，期限1年。提示：合规操作；严格把控信贷资金...
100522,b'严格把控信贷资金用向；务必强化账户监查，保证在我行销售收入归行率'
100523,b'严格把控信贷资金用向；掌握公司合同签订与履行状况，防止应收账款非常规、不合理占用；加强银...
100524,"b'提示：严格把控信贷资金用向,；强化账户监查，保证在我行销售收入归行率。'"
100525,b'提示：规范操作；严格把控信贷资金用向；强化账户监查（含个人结算账户），保证在我行销售收入...
100526,b'密切关注房地产市场变动，防止应收账款非常规、不合理占用；加强银行承兑台账管理，把握公司资...
100527,b'提示：严格把控信贷资金用向；密切关注房地产市场变动，防止应收账款、存货非常规、不合理占用...
100528,b'提示：严格把控信贷资金用向，严禁流贷固用、严控关联企业间非正常资金往来；关注汽贷质量请加...
100529,b'严格把控信贷资金用向；落实我行存量客户的基本户管理要求；密切关注应收账款质量；强化账户监...
100530,b'严格把控信贷资金用向；把握***合同签订与履约状况、深入分析应收账款结构与质量，防止非常...
100531,b'严格把控信贷资金用向；收入分析应收账款、存货结构、质量，防止非常规、不合理占用；强化账户...
100532,b'提示：严格把控信贷资金用向，严禁流贷固用；把握公司合同签订与履约状况，收入分析应收账款、...
100533,b'提示：严格把控信贷资金用向；密切关注公司安全生产状况，采取有效防范措施；建立银行承兑台账...
100534,b'严格把控信贷资金用向；密切关注公司产品运输安全风险状况，防止由此引发信贷风险；强化账户监...
100535,b'严格把控信贷资金用向；收入分析应收账款、存货结构、质量，防止非常规、不合理占用；强化账户...
100536,b'贷款发放前落实在我行开立基本结算户。根据企业批零特点，合理确定分次贷款支用金额，严格把控...
100537,b'同意给予***额度授信2500万元，授信期限1年。提示：关注汇率波动对客户经营的影响'
100538,b'提示：认真落实客户贷前承诺事项和放款条件；严格把控信贷资金用向；密切关注公司安全经营状况...
100539,b'提示：合规操作；严格把控信贷资金用向；把握公司合同签订与履约状况，深入分析应收账款、存货...
100540,b'严格把控信贷资金用向；深入分析应收账款、存货结构、质量，防止非常规、不合理占用；强化账户...
100541,b'提示：认真落实客户贷前承诺事项和放款条件；严格把控信贷资金用向；深入分析应收账款、存货结...
100542,b'提示：严格把控信贷资金用向；密切关注公司环保、安全生产状况；强化账户监查，保证在我行销售...
100543,b'严格把控信贷资金用向；深入分析应收账款、存货结构、质量，防止非常规、不合理占用；把控公司...
100544,b'同意给予***“成长之路”授信额度490万元，期限1年'
100545,b'同意给予***“成长之路”授信额度400万元，期限1年'
100546,b'同意***“成长之路”额度授信240万元，期限1年。提示：落实客户贷前承诺事项和放款条件...
100547,b'同意给予***“成长之路”授信额度110万元，期限1年'
100548,b'同意给予***“成长之路”授信额度420万元，期限1年'
100549,b'同意给予***信用额度980万元，期限一年。'
100550,b'同意减额给予***“成长之路”信用额度授信2600万元，期限1年，同时落实以下条件：1、...
100551,b'同意给予***1000万元信用额度，期限1年，同时落实以下条件：1、落实合法有效的自然人...
100552,b'同意减额给予***“成长之路”信用额度2475万元，期限1年，同时落实以下条件：1、保持...
100553,b'同意给予***“成长之路”信用额度700万元，期限1年，同时落实以下条件：1、抵押物取得...
100554,b'同意给予***“成长之路”信用额度2600万元，期限1年，同时落实以下条件：1、放款前进...
100555,b'经***2017年3月17日第201710059次会议审批，同意按照“问题客户”给予**...
100556,b'同意给予***“成长之路”信用额度950万元，用于存量贷款期限调整，期限1年，同时落实以...
100557,"b'经***2017年9月28日第201710224次审批会议研究,同意给予***“成长之路..."
100558,b'你分行上报的***客户信用额度业务（业务编号：*****）收悉，经***第2022103...
100559,b'提示经营部门重点关注该公司与关联企业间资金往来情况，积极争取该公司在我行开立基本结算账户...
100560,b'建议经营部门加强贷后走访，关注客户经营变化情况及他行融资情况；加强押品定期重检，如发现押...
100561,b'提示经营部门加强信贷资金监管，我行贷款不得挪用于保证人。'
100562,b'提示经营部门重点关注客户客户所属行业及关联行业市场供求动态，产品价格走势，上下游客户渠道...
100563,b'提示经营部门重点关注客户所属行业及下游关联行业市场动态，市场及客户拓展，主要采购与销售合...
100564,b'提示经营部门：1、关注当地服装零售行业市场动态，确定该公司经营正常。2、关注公司应收账款...
100565,b'提示经营部门重点关注该公司建材市场供求动态及价格走势，上下游客户渠道，严格监控信贷资金使...
100566,b'提示经营部门重点关注企业上下游客户渠道稳定性，市场供求动态，应收预付帐款，严格监控信贷资...
100567,b'提示经营部门严格执行原授信条件和相关提示。'
100568,b'提示经营部门重点关注客户所属行业及关联行业市场供求动态，上下游客户渠道稳定性，主要采购与...
100569,b'提示经营部门重点关注建材市场供求动态，上下游客户渠道稳定性，市场及客户拓展，主要采购与销...
100570,b'提示经营部门重点关注该公司所属行业市场供求动态，上下游客户渠道稳定性，市场及客户拓展，安...
100571,b'同意给予***2800万元信用额度，期限一年。同时要求落实以下条件：1、客户信用额度项下...
100572,b'同意***1000万元“成长之路“额度授信，期限一年。'
100573,b'同意给予***800万元成长之路信用额度，期限一年。'
100574,b'同意***成长之路信用额度550万元，期限一年。'
100575,b'同意***成长之路信用额度120万元，期限12个月。'
100576,b'同意***成长之路信用额度200万元(善融贷)，期限一年。'
100577,b'经***2016年12月9日第201610226次审批会议研究，同意给予***“成长之路...
100578,b'经***2016年11月30日第201610216次审批会议研究，同意给予***“成长之...
100579,b'同意给予***成长之路信用额度900万元，期限1年。同时要求落实以下条件：1、其中100...
100580,b'同意给予***“成长之路”额度授信370万元，期限1年。'
100581,b'同意***信用额度670万元，期限12个月。同时要求落实以下条件：客户信用额度项下所有授...
100582,b'同意***善融贷信用额度200万元，期限1年。'
100583,b'经***2018年2月5日第201820020次审批会签研究，同意给予***“成长之路”...
100584,b'经***2018年12月14日第201810172次审批会议研究，同意给予***信用额度...
100585,b'你分行上报的***客户信用额度业务（业务编号：*****）收悉，经***第2020209...
100586,b'同意***信用额度500万元，期限一年，要求追加实际控制人高辉及其财产共有人以及两个企业...
100587,b'经***2020年1月17日第202020018次会签审批研究，同意给予***信用额度2...
100588,b'同意给予***“成长之路”信用额度750万元，期限一年。以该企业拥有的房产和仓储用地抵押...
100589,b'提示经办行：1、鉴于保证人主要经营铁精粉业务，其下游钢铁企业目前经营形势依旧低迷，经办机...
100590,b'1、本次授信期内，单笔再融资业务压缩的本金所占用的额度不得循环支用；2、我行授信期内，该...
100591,b'1、我行贷款期间要求借款人主要资金通过我行办理，结算比例至少不得低于我行贷款占比，特别是...
100592,b'1、我行授信期内，要求该公司不得分红；“所有者权益”科目资金不得转出；不得新增对外提供担...
100593,b'落实以下条件：1、增加放款前提条件：该公司股东及财产共有人出具承诺，承诺我行授信期内，该...
100594,b'经2015年12月30日***贷款审批人会签审批，同意给予***“成长之路”额度授信90...
100595,b'经2016年5月30日***贷款审批人会签审批，同意给予***“成长之路”额度授信600...
100596,b'经2016年10月31日***贷款审批人会签审批，同意给予***“成长之路”额度授信80...
100597,b'经2017年3月29日***贷款审批人会签审批，同意按照“问题客户”给予***额度授信8...
100598,b'经2017年7月17日***贷款审批人会签审批，同意给予***“成长之路”额度授信500...
100599,b'经***2018年4月24日第2018年201810052次审批会议研究，同意给予***...
100600,b'同意给予***“成长之路”授信额度810万元，期限一年，全部为流动资金贷款额度，由***...
100601,b'你分行上报的***客户信用额度业务（业务编号：*****）收悉，经***第2022202...
100602,b'同意给予***“成长之路”信用额度960万元，期限1年。'
100603,b'经***2015年12月15日第2015051次信贷审批会议研究，同意***“成长之路”...
100604,b'同意给予***“成长之路”信用额度990万元，期限1年。'
100605,b'同意给予***“成长之路”信用额度950万元，期限1年。'
100606,b'经***2016年1月7日第2016001次信贷审批会议研究，同意给予***“成长之路”...
100607,b'同意给予***“成长之路”信用额度700万元，期限1年。'
100608,b'经***2016年3月23日第2016013次信贷审批会议研究，同意给予***“成长之路...
100609,b'经***2016年3月9日2016008次信贷审批会议研究，同意给予***“成长之路”信...
100610,b'经***2016年6月16日第2016026次信贷审批会议研究，同意给予***“成长之路...
100611,b'经***2016年7月29日***第20160033次信贷审批会议研究，同意给予***“...
100612,b'经***2016年8月5日第20160034次信贷审批会议研究，同意给予***“成长之路...
100613,b'经***2016年11月14日第201610199次审批会议研究，同意给予***信用额度...
100614,b'同意给予***“成长之路”信用额度800万元，期限一年。'
100615,b'同意给予***“成长之路”信用额度990万元，期限1年。'
100616,b'同意给予***“成长之路”信用额度800万元，期限1年。'
100617,b'同意给予***“成长之路”信用额度980万元，期限1年。'
100618,b'同意给予***“成长之路”信用额度900万元，期限1年。'
100619,b'同意给予***“成长之路”信用额度880万元，期限1年。'
100620,b'经***2017-10-13第201710232次审批会议研究，同意给予***信用额度3...
100621,b'经***2017年9月15日第0016次信贷审批会议研究，同意给予***“成长之路”信用...
100622,b'同意给予***“成长之路”信用额度1780万元，期限一年。'
100623,b'经***201820050次审批会签研究，同意给予***“成长之路”信用额度900万元，...
100624,b'同意***“成长之路”信用额度830万元，期限1年。'
100625,b'同意给予***“成长之路”信用额度1850万元，期限1年。同时落实以下条件：1、授信期内...
100626,b'经***2020年1月15日第202020011次会签审批研究，同意给予***“成长之路...
100627,b'你分行上报的***客户信用额度业务（业务编号：*****）收悉，经***第2021204...
100628,b'同意给予***“成长之路”授信额度800万元，期限一年，全部为流动资金贷款额度，由***...
100629,b'同意给予***“成长之路”信用额度750万元，期限1年，担保方式为由***提供连带责任保...
100630,b'同意给予***“成长之路”信用额度900万元，期限1年。'
100631,b'你分行上报的***客户信用额度业务（业务编号：KHES1306661002021O000...
100632,b'同意给予***信用额度790万元，有效期一年，贷款用于备货及日常经营周转。贷款支用时，用...
100633,b'1.公司由***担保在***借有流动资金贷款2000万元，到期日为2015年4月2日；由...
100634,b'1.***属于流通领域客户，建议经营部门高度关注企业销售收入、应收账款的回笼情况及在我行...
100635,b'同意***小企业“成长之路”信用额度1550万元，期限一年。提示：1.关注该客户上下游贸...
100636,b'同意给予***“成长之路”额度授信300万元，期限1年。'
100637,b'同意给予***“成长之路”额度授信100万元，期限一年。'
100638,b'同意给予***“成长之路”额度授信350万元，期限1年。'
100639,b'同意给予***“成长之路”额度授信260万元，期限1年。'
100640,b'同意给予***“成长之路”额度授信990万元，期限1年。同时要求：1、放款后三个月内将基...
100641,b'同意***授信方案中1100万元流动资金贷款担保人由***变更为***，其他授信条件不变。'
100642,b'同意给予***“成长之路”额度授信1700万元，期限1年。同时追加***自有油罐等设备进...
100643,b'同意给予***“成长之路”额度授信500万元，期限1年。'
100644,b'同意给予***“成长之路”额度授信900万元，期限1年。'
100645,b'同意给予***“成长之路”额度授信2000万元，期限一年。条件：单笔支用必须满足在我行的...
100646,b'同意给予***“成长之路”额度授信3500万元，期限一年。'
100647,b'同意给予***“成长之路”额度授信2000万元，期限一年。'
